#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CONFIRMEXPORTTEXT;A játék a $NAME$ néven kerül exportálásra. Ez akár pár percet is igénybe vehet.;La partie va être exportée sous le nom : $NAME$. Cette opération peut prendre quelques minutes.;A játék a $NAME$ néven kerül exportálásra. Ez akár pár percet is igénybe vehet.;;La partida se exportará con el nombre $NAME$. Esta operación puede tardar un par de minutos.;;;;;;;;;x
CONFIRMEXPORTTEXT_WARNING;A játék a $NAME$ néven kerül exportálásra.\n\n EZ A NÉV MÁR HASZNÁLATBAN VAN!\nBiztos vagy benne hogy folytatod?;La partie va être exportée sous le nom : $NAME$.\n\n CE NOM EXISTE DEJA ! \nÊtes-vous sûr de vouloir continuer ?;A játék a $NAME$ néven kerül exportálásra.\n\n EZ A NÉV MÁR HASZNÁLATBAN VAN!\nBiztos vagy benne hogy folytatod?;;La partida se exportará con el nombre $NAME$.\n\n ¡ESTE NOMBRE YA ESTÁ EN USO!\n¿Seguro que quieres continuar?;;;;;;;;;x
STYLE;Stílus;Style;Stílus;;Estilo;;;;;;;;;x
CAN_PERSUADE_TO_JOIN_PLOT;Egy zsák arannyal meggyõzhetõ;Peut être convaincu par une escarcelle d'or...;Egy zsák arannyal meggyõzhetõ;;Puede convencersele con un saco de oro...;;;;;;;;;x
city_job_chancellor_arabic;Nagyvezír;Grand Vizir;Nagyvezír;;Gran Visir;;;;;;;;;x
city_job_chancellor_iranian;Nagyvezír;Grand Vizir;Nagyvezír;;Gran Visir;;;;;;;;;x
city_job_chancellor_turkish;Nagyvezír;Grand Vizir;Nagyvezír;;Gran Visir;;;;;;;;;x
city_job_chancellor_west_african;Nagyvezír;Grand Vizir;Nagyvezír;;Gran Visir;;;;;;;;;x
city_job_chancellor_greek;Magistrosz;Maître des offices;Magistrosz;;Magistros;;;;;;;;;x
city_job_spymaster_greek;Misztikosz;Mystique;Misztikosz;;Mystikos;;;;;;;;;x
city_job_treasurer_greek;Szakelláriosz;Sacellaire;Szakelláriosz;;Sakellarios;;;;;;;;;x
city_job_marshal_greek;Sztratégosz;Stratège;Sztratégosz;;Estratega;;;;;;;;;x
city_job_chancellor_aztec;Cihuacoatl;Cihuacoatl;Cihuacoatl;;Cihuacoatl;;;;;;;;;x
city_job_treasurer_aztec;Petlacalcatl;Petlacalcatl;Petlacalcatl;;Petlacalcatl;;;;;;;;;x
city_job_spiritual_aztec;Sahagun;Sahagún;Sahagun;;Sahagun;;;;;;;;;x
city_job_spymaster_aztec;Tillancalqui;Tillancalqui;Tillancalqui;;Tillancalqui;;;;;;;;;x
city_job_marshal_aztec;Tlacateccatl;Tlacateccatl;Tlacateccatl;;Tlacateccatl;;;;;;;;;x
city_job_chancellor_zoroastrian_group;Astabadh;Astabadh;Astabadh;;Astabadh;;;;;;;;;x
city_job_treasurer_zoroastrian_group;Darik-Pat;Darik-Pat;Darik-Pat;;Darik-Pat;;;;;;;;;x
city_job_marshal_zoroastrian_group;Eran Spahbod;Eran Spahbod;Eran Spahbod;;Eran Spahbod;;;;;;;;;x
city_job_spiritual_zoroastrian_group;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x
city_job_spiritual_zoroastrian;Mobed;Mobad;Mobed;;Mobad;;;;;;;;;x
city_job_spiritual_christian;Káplán;Chapelain de la Cour;Káplán;;Capellán;;;;;;;;;x
city_job_spiritual_orthodox;Eklézsiás;Sacristain;Eklézsiás;;Eclesiarca;;;;;;;;;x
city_job_spiritual_muslim;Udvari Imám;Imam;Udvari Imám;;Imán de la corte;;;;;;;;;x
city_job_spiritual_shiite;Udvari Mullah;Mollah;Udvari Mullah;;Mulá de la corte;;;;;;;;;x
city_job_spiritual_pagan_group;Fõtáltos;Médium en chef;Fõtáltos;;Gran Chamán;;;;;;;;;x
city_job_spiritual_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_baltic_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_baltic_pagan_reformed;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_finnish_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_finnish_pagan_reformed;Táltos;Devin ;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_norse_pagan_reformed;Látnok;Voyant;Látnok;;Vidente;;;;;;;;;x
city_job_spiritual_norse_pagan;Látnok;Voyant;Látnok;;Vidente;;;;;;;;;x
city_job_spiritual_female_norse_pagan_reformed;Látnok;Voyante;Látnok;;Vidente;;;;;;;;;x
city_job_spiritual_female_norse_pagan;Látnok;Voyante;Látnok;;Vidente;;;;;;;;;x
city_job_spiritual_slavic_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_slavic_pagan_reformed;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_tengri_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
city_job_spiritual_tengri_pagan_reformed;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
EU4ConverterDLC;EUIV Converter;;EUIV Converter;;;;;;;;;;;x
CustomizationPackDLC;Customization Pack;;Customization Pack;;;;;;;;;;;x
